pattern,top_n,top_n_positive,top_proportion,top_proportion_ci_lo,top_proportion_ci_hi,control_n,control_n_positive,control_proportion,control_proportion_ci_lo,control_proportion_ci_hi,diff_percentage_points,diff_ci_lo_pp,diff_ci_hi_pp,cohens_h,cohens_h_ci_lo,cohens_h_ci_hi,contingency_top_pos,contingency_top_neg,contingency_ctrl_pos,contingency_ctrl_neg,test_method,p_value_raw_two_sided,q_value_bh_fdr,significant_q05
isolated_object_plain_background,50,19,0.380000,0.240000,0.520000,50,29,0.580000,0.440000,0.720000,-20.0000,-38.0000,0.0000,-0.4031,-0.8038,0.0000,19,31,29,21,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.043496,0.101490,0
extreme_closeup_or_unusual_crop,50,23,0.460000,0.320000,0.600000,50,11,0.220000,0.120000,0.340000,24.0000,6.0000,42.0000,0.5143,0.1277,0.9241,23,27,11,39,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.008799,0.030797,1
repetitive_texture_or_geometric_pattern,50,28,0.560000,0.420000,0.700000,50,14,0.280000,0.160000,0.420000,28.0000,8.0000,46.0000,0.5759,0.1669,0.9783,28,22,14,36,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.001700,0.011899,1
unusual_color_or_high_contrast,50,16,0.320000,0.200000,0.460000,50,9,0.180000,0.080000,0.300000,14.0000,-2.0000,30.0000,0.3262,-0.0475,0.7346,16,34,9,41,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.094091,0.164659,0
blur_low_resolution_or_compression_artifact,50,5,0.100000,0.020000,0.180000,50,1,0.020000,0.000000,0.060000,8.0000,0.0000,18.0000,0.3597,0.0000,0.8230,5,45,1,49,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.176682,0.247355,0
watermark_or_visible_text,50,4,0.080000,0.020000,0.160000,50,6,0.120000,0.040000,0.220000,-4.0000,-16.0000,8.0000,-0.1340,-0.5735,0.2721,4,46,6,44,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.726127,0.726127,0
unusual_pose_occlusion_or_atypical_composition,50,6,0.120000,0.040000,0.220000,50,10,0.200000,0.100000,0.320000,-8.0000,-22.0000,6.0000,-0.2198,-0.6290,0.1688,6,44,10,40,"class-stratified permutation (10000 perms, seed=42); CI: independent bootstrap (10000, seed=44)",0.408859,0.477002,0
